acquired,satellite_azimuth,satellite_id,sun_azimuth,sun_elevation,view_angle
2023-06-29T17:06:28.299876Z,272.8,2459,96.8,57.9,1.5
2022-03-05T17:27:23.548016Z,277.2,2251,135.3,41.4,4.9
2019-05-08T17:50:21.992763Z,100.4,105a,121.8,65.3,5
2022-05-30T17:42:26.79539Z,276.8,2475,108.6,65.8,4
2018-03-03T17:57:41.577751Z,166.8,0f32,145,45.2,0.30000000000000004
2020-11-05T17:51:02.439626Z,260,1063,156.1,38.7,5.1
2018-07-21T17:37:28.423448Z,188.2,1050,108.3,62.6,0.1
2019-06-13T16:49:58.691515Z,253.4,1054,94.8,55.1,1
2017-07-01T17:23:20.480537Z,169.1,0e30,100.3,61.2,0.1
2020-10-07T17:46:26.047406Z,277,1040,148,47.1,5
2019-05-18T17:38:49.508047Z,101.1,1004,113.2,64.8,3
2022-01-27T18:01:56.763345Z,277.2,2407,152.5,34.9,5.1
2022-01-31T17:26:30.609774Z,277.2,2251,142.8,31.8,4.9
2020-09-07T17:45:52.157954Z,268.8,0f15,135.2,55.8,1
2022-03-18T17:22:49.266649Z,100.3,2276,131.8,46.1,5
2018-11-09T17:21:46.107904Z,191.4,0f49,148.9,34.9,0.2
2022-11-16T17:52:46.70071Z,276.8,227c,157.8,36,3
2021-11-16T17:12:50.475299Z,275.1,2459,147.5,32.1,2
2022-04-14T17:20:04.700299Z,100.5,225a,121.9,54.5,5
2024-04-07T18:01:33.874425Z,100,241c,138,58.9,4.6
2018-06-20T17:42:16.815756Z,177.6,104a,104.4,66,0.1
2021-11-18T17:10:52.286251Z,102.3,242a,147.8,31.8,2
2019-02-08T17:10:10.00503Z,259.9,0f4d,137,31.2,5.1
2019-06-08T16:49:59.653425Z,255.7,0f46,95.5,55.4,1
2021-03-11T17:40:17.731398Z,85,106a,138.3,46,3
2019-10-23T17:45:12.100245Z,276,1012,152,42.2,3
2022-05-10T17:42:58.71285Z,276.3,247f,117.1,63.7,4
2023-08-17T17:50:45.328532Z,272.6,2480,124.4,61,1.8
2019-06-16T17:55:43.35252Z,277.1,1061,107.8,68.3,5
2020-02-27T16:08:38.633663Z,257.2,0f44,120,26.4,2.1
2022-02-19T17:57:11.027887Z,275.6,2416,146.9,40.9,3
2019-03-18T18:01:03.9439Z,267.7,105c,142.8,50.8,1
2021-05-20T14:54:25.663968Z,260.7,104b,83.8,30.1,5
2022-01-06T17:14:22.379233Z,277.5,2464,144.6,26.5,5
2018-09-09T17:30:38.62556Z,168,1050,130.7,52.9,0
2021-03-14T15:09:38.56966Z,184.9,0f2e,105.6,19.5,2.4
2022-03-24T17:10:02.14654Z,179.6,2436,125.9,45.4,0.1
2020-06-08T17:47:10.731266Z,277.2,101b,107.2,66.8,5
2021-01-09T17:47:35.844039Z,259.7,1067,151.8,30.5,5.1
2018-06-28T17:41:37.752055Z,192.3,104e,104.1,65.3,0.1
2023-07-20T17:14:26.982285Z,277.3,24ba,102.1,57.8,5
2018-06-09T17:44:12.449813Z,167.1,1050,106.4,66.6,0.1
2020-09-17T17:28:28.469222Z,194.2,0e20,134.3,50.6,0.1
2020-06-12T17:46:24.041198Z,188.6,0f34,106.3,67,0
2020-11-19T15:24:28.569643Z,259.6,104e,125.9,15.7,3
2020-10-29T15:26:58.633419Z,86.1,1050,122.2,20.6,2
2022-05-01T17:40:43.610832Z,102.3,2486,120.9,62.1,2
2021-10-06T18:03:16.30866Z,276.8,227b,153.1,49.3,4
2021-05-03T17:15:14.385897Z,100.7,2431,112.8,57.9,4.2
2020-06-12T17:45:49.371624Z,277.1,101b,105.9,66.8,5
2019-04-03T16:59:50.043378Z,86.3,1020,120.2,46.8,2
2021-06-25T17:42:01.043714Z,275.8,101f,104,65.6,3
2018-11-28T17:40:35.375178Z,277.4,0f4e,154.5,32.1,5.2
2019-07-21T16:41:21.39763Z,83.9,0f2a,96.9,51.4,4
2018-05-08T17:29:23.246365Z,109.2,101f,114.5,61.4,0.9
2022-08-30T17:50:51.023068Z,100.9,241c,132.8,58.7,4
2019-06-01T16:52:17.373709Z,259,1050,97.3,55.5,2.9
2021-12-17T17:09:00.842344Z,100.6,2423,147,26.9,4
2021-09-21T17:39:11.430749Z,100.2,1009,140,51.5,4
2017-04-03T17:19:30.44992Z,185,0e0e,125.2,50.6,0.1
2022-10-23T17:03:50.56662Z,272.2,2451,140.8,37.6,0.9
2020-10-05T17:45:39.355983Z,277.1,1010,147.2,47.6,5
2021-04-08T15:01:48.015502Z,260.5,1054,96.6,24.5,5
2020-08-19T17:47:02.827318Z,276.2,0f22,124.8,60,3
2019-06-01T17:36:29.906579Z,276.5,0e0f,106.7,64.5,4
2020-10-17T18:08:28.75955Z,100.5,2254,159.4,46.4,5
2023-05-10T17:12:43.74518Z,270.8,24b5,109.2,58,1
2023-05-13T17:10:53.958616Z,101.1,24a8,107.6,58.6,3.2
2017-11-14T18:15:36.214932Z,260.1,0f21,163.9,38.2,4.5
2020-04-02T16:02:12.826242Z,252,0f21,108.2,35.6,0.9
2017-09-01T17:21:28.689408Z,275.5,1041,123.7,53,2.7
2020-05-24T18:09:39.194005Z,100.8,1060,122,71.2,4.1
2023-06-15T17:05:44.757336Z,264.9,2455,97,58.4,0.7000000000000001
2020-10-30T18:09:48.492375Z,181.6,227b,161.6,42.2,0.2
2022-08-26T17:08:54.487225Z,107.8,242d,117.4,51.9,0.9
2022-08-10T17:43:06.647864Z,277.5,2438,117.9,60.7,4
2021-03-14T17:15:31.034954Z,102.7,2432,130.7,43.3,5.3
2017-11-19T17:24:06.396768Z,271.6,1021,150.6,32.7,1.6
2023-09-24T17:13:30.089483Z,104.9,24ca,132.9,47,1.4
2017-12-04T17:25:12.905621Z,221.2,1042,151,29.9,0.7000000000000001
2020-01-17T16:13:43.761299Z,84.4,0f36,131.4,19.3,3.9
2019-12-02T16:23:15.3869Z,257.1,0f3c,137.5,22.6,2
2019-05-08T16:52:42.677198Z,83.4,104a,105.7,54.2,5
2019-07-26T16:42:42.251365Z,254,104b,98.4,50.7,1
2018-11-28T17:18:20.192846Z,190.1,0f4b,149.6,30.3,0.1
2022-03-07T18:01:12.218202Z,274.5,2402,145.1,46.8,2.1
2022-03-13T17:36:35.7983Z,276.6,103c,136,45.7,5
2024-03-12T18:01:24.397318Z,277.2,227a,143.7,48.9,5
2022-10-27T17:04:14.657827Z,274.9,2460,141.9,36.3,2.3
2018-06-26T17:41:00.894442Z,169.6,1053,104.2,65.4,0.1
2022-09-18T17:40:08.023621Z,100.6,249d,138.6,52.2,4
2019-11-17T16:23:49.001266Z,84.6,0f3d,136.9,25.8,3
2022-10-17T17:03:00.115267Z,100.2,2459,139.3,39.2,4.9
2023-08-04T17:49:20.048465Z,274.8,2483,117.2,63.1,2.1
2018-06-08T17:44:16.702322Z,178.8,0f3d,106.9,66.6,0.2
2022-07-29T17:42:00.411234Z,276.7,2461,112.1,62.2,4.1
2020-06-24T17:32:37.917065Z,276.8,0e3a,101.8,63.5,5
2022-06-23T17:39:54.993749Z,110.9,247c,103.9,65.5,1
2017-09-26T17:22:00.052391Z,267.1,0f3f,136.2,47.3,1.1
2018-09-15T17:34:22.78499Z,260.5,101b,135.1,52.3,0.5
2019-04-10T16:58:59.660575Z,182.4,0f36,117.6,48.8,0.2
2019-05-15T17:41:24.952664Z,107.4,0f42,115,64.6,1
2019-05-26T17:41:04.374557Z,269.7,1040,110.2,65.6,1
2019-09-28T16:32:02.734998Z,179.7,0f21,124,38.8,0.1
2022-02-21T17:13:29.899027Z,277.4,2453,134.6,35.3,4.9
2018-06-27T17:41:01.748794Z,203.2,0f36,103.9,65.5,0.2
2019-12-13T17:35:12.022856Z,277.3,0e0f,152.7,29.7,5
2020-12-05T17:47:10.389602Z,268.3,0f34,156.2,31.7,1
2019-10-10T17:44:38.946666Z,276.4,1003,148.1,46.1,4
2021-01-04T18:11:07.309146Z,277.4,2414,158.6,32.3,5
2019-01-16T17:37:37.72448Z,159.3,100c,148.7,30.6,0.1
2021-03-17T17:42:34.168079Z,102.3,1012,137.3,48.4,2
2022-09-24T17:42:09.055869Z,277.1,247f,141.3,50.6,5
2018-11-07T17:21:32.174782Z,159.3,0f53,148.8,35.7,1.4
2022-09-16T17:04:33.875328Z,275.9,2460,126.5,47.1,3.2
2019-10-24T17:44:07.39327Z,271.3,1006,152.1,42,1
2020-11-26T17:49:27.116278Z,256.6,1065,157.1,33.4,2.1
2019-10-15T17:58:47.414453Z,100.7,105e,155.4,46.4,4
2018-05-14T17:47:35.948034Z,169.3,104d,117.4,65.6,0.1
2022-02-22T17:37:38.744843Z,276.1,100c,140.9,39.3,3
2021-01-09T17:44:17.997237Z,276.1,1014,151.3,30.5,3
2021-11-13T17:27:50.631725Z,110.1,2231,151.2,34.8,1
2023-03-03T17:01:03.849691Z,100.7,2463,130.1,37.1,4.6
2022-04-27T17:07:39.338176Z,101.8,245d,113.4,55.3,3
2022-12-31T17:01:08.781405Z,100.2,2460,143.5,25.4,5
2020-09-29T17:51:14.159591Z,179.3,1069,147.3,50.2,0.4
2021-10-21T17:43:04.505033Z,268,0f4e,151.5,42.6,1.8
2018-09-14T17:35:12.653999Z,180.5,1038,134.7,52.5,0.1
2022-10-26T17:02:31.323796Z,101.6,2449,141.7,36.8,2.1
2020-11-03T15:26:10.401778Z,90.9,0f2b,123.4,19.4,1
2021-06-20T17:54:30.074075Z,276.3,1026,107.2,68,4
2020-03-25T18:03:51.388003Z,258.6,1065,141.5,54.1,3
2018-11-12T17:37:43.088198Z,276.1,102e,153.4,35.8,3
2022-11-05T17:42:33.465223Z,277.3,248f,153.8,38.2,4.9
2023-09-03T17:48:42.638343Z,100.2,2488,134.1,57.5,5
2022-10-24T17:05:23.468Z,100.7,2453,141.9,37.5,4
2022-12-17T17:03:50.388118Z,99.7,241f,146,26.4,5
2022-05-12T17:09:07.001993Z,100.4,245c,107.6,58,4.9
2019-08-27T17:43:13.224337Z,270.8,1039,127.6,57.8,1
2024-03-09T18:13:44.904923Z,275.7,24d2,148.5,49.1,3
2022-10-10T17:55:12.207252Z,175.9,240c,152.2,47.3,0.1
2023-03-26T17:42:32.191649Z,100.3,247b,135.2,51.5,3.3
2023-03-28T17:43:14.445598Z,269.9,2486,134.5,52,1.3
2020-03-28T17:43:27.219427Z,101.5,1034,134.7,52.7,3.6
2018-11-09T17:33:40.07445Z,185.8,0e16,152.2,36.2,0.5
2022-01-07T17:38:10.62664Z,276.1,100c,150.3,29.7,4
2019-05-05T17:40:10.41595Z,101.9,1011,119.3,62.7,3
2024-01-10T18:10:27.828477Z,100.8,24e6,158.5,33.2,3.4
2019-04-09T17:38:51.15499Z,100.6,1021,129.4,55.7,4
2020-03-14T18:09:01.362843Z,277.1,105e,145.9,50.7,5.5
2018-08-19T17:30:53.081641Z,116.7,0e19,119.8,57.2,2.4
2021-10-24T17:15:10.409777Z,276.6,2431,143.9,38.4,2.9
2022-05-08T17:31:55.296288Z,277.2,2233,114.5,61.5,5.3
2017-09-04T17:19:34.417762Z,105.6,1003,125,52.3,1.7
2017-08-29T18:25:15.850256Z,178.6,103f,146.5,63.6,0.1
2020-10-11T17:50:50.958035Z,90.8,1069,151.3,46.4,1.1
2019-06-11T17:51:08.554382Z,100.9,1058,108.5,68.4,4
2018-01-18T17:26:06.867657Z,117.6,103b,145.6,29.5,0.4
2023-12-08T17:58:23.534454Z,277.2,2475,159.1,32.2,4.4
2021-03-26T17:18:15.93656Z,272.9,2429,127.3,47.3,2.1
2019-10-27T17:43:27.517976Z,101.4,0f4e,153.3,41,3.5
2023-12-13T17:16:31.621045Z,271.9,24c0,148.6,27.8,1.4
2023-06-05T17:13:32.396561Z,275.7,24c4,100.1,60.1,3.1
2023-09-30T17:50:49.320686Z,100.3,2473,147.7,50.3,5.1
2018-12-19T17:38:34.539812Z,159.2,0f4e,153.3,29.6,1.7
2023-10-13T17:53:01.538774Z,106.9,2473,152.5,46.2,1.2
2018-09-21T17:34:37.784656Z,129.5,1003,138,50.6,0.2
2020-01-03T18:02:44.525962Z,100.2,1060,157.6,31.8,5
2022-09-16T17:55:46.15174Z,102.2,2426,142.8,54.8,2
2020-01-17T17:45:46.750434Z,276.1,101b,150.2,31.4,3
2020-09-23T17:44:45.141677Z,276.1,1032,142.3,51.2,3.1
2021-04-19T17:15:37.664917Z,100.3,2235,118.8,54.8,5
2020-01-07T17:42:23.74999Z,108.6,1001,151.8,30.2,1
2024-02-29T18:12:14.469637Z,101.6,24c6,150.1,45.7,3.1
2021-09-12T17:14:49.802153Z,276.6,2464,127.6,49.5,4
2022-03-06T17:22:17.711822Z,249.4,1067,133.9,41.2,1.1
2021-05-27T14:53:54.397566Z,260.4,1050,82.3,30.3,4
2021-11-16T17:58:38.253526Z,100.1,2403,160.4,36.9,5
2020-12-03T17:44:15.632011Z,268.7,1001,155.7,31.9,1
