acquired,satellite_azimuth,satellite_id,sun_azimuth,sun_elevation,view_angle
2021-08-04T18:03:42.125619Z,277.3,2419,121.8,65.7,5
2020-10-05T17:46:20.027081Z,276.6,0f22,147.3,48.3,4
2017-06-13T17:14:55.952301Z,181.3,1003,98.4,60.9,0.1
2020-05-05T17:43:12.076593Z,268.8,1009,119,63.8,1
2019-03-17T17:03:48.271029Z,259.8,0f4a,126.1,42.3,3
2018-05-10T17:29:00.669875Z,177,1013,112.7,61.9,0
2018-06-08T17:30:13.062482Z,146.5,1015,102.4,64.1,0.2
2021-05-28T17:40:37.240027Z,103.2,1013,108.2,66.2,2
2023-01-22T17:39:10.480486Z,100.1,248f,148.4,32.4,5
2018-01-17T17:25:12.173486Z,122.7,1027,145.6,29.7,0.8
2021-05-01T18:07:16.582909Z,275.8,2412,130.4,66.8,2.8
2021-04-18T17:42:12.796713Z,100.6,0f15,126.7,59.8,4
2021-06-09T18:04:40.409691Z,275,2274,112,71.2,2
2020-05-04T17:44:21.641168Z,275.5,1014,119.5,63.6,3
2023-02-24T17:47:26.953293Z,276.3,2416,143,41.7,3.7
2019-09-01T17:43:13.039034Z,276.8,1040,129.7,57.1,4
2023-04-04T17:38:33.493917Z,100.4,2461,131.3,54.7,4.7
2017-11-02T17:23:22.336124Z,102.3,0e14,148.8,37.8,2.8
2019-05-28T17:48:36.10219Z,100.3,1061,111,68,5
2019-08-31T17:39:20.943794Z,102.6,1024,128.6,57.2,2
2021-01-09T17:40:46.761626Z,100.5,1008,151.2,31,5
2021-03-11T17:40:11.584645Z,85.1,106a,138.2,46.4,3
2022-06-06T17:06:36.704979Z,276.9,2423,98,58.8,4.1
2017-04-08T17:12:05.404665Z,182.2,1025,121.2,51.2,0.8
2022-05-18T17:41:31.117944Z,277.3,2488,112.3,65,4.9
2017-09-25T17:20:25.590698Z,118.4,0f43,135.3,47.9,1
2022-05-15T17:04:12.872365Z,100.3,2428,104.8,58,5
2023-10-20T17:14:30.046311Z,276.9,24bf,142.4,40.1,4.3
2022-08-08T17:05:43.549022Z,276.6,2428,107,54.2,4
2020-11-10T18:10:08.549101Z,277.1,240f,162.4,39.4,5
2018-04-09T17:51:03.290994Z,159.8,0f24,133.2,58.2,0.1
2020-11-21T15:25:06.063614Z,260.3,0f44,126,15.7,5
2019-05-13T16:53:16.656667Z,257.3,1049,103,55,2
2017-12-19T17:22:44.8677Z,102.4,1033,149.8,28.7,2.6
2020-06-11T17:45:04.545386Z,277,1011,105,66.8,4.9
2021-04-20T17:41:26.9666Z,107.5,1012,125.3,60,1.1
2021-03-25T17:44:05.410995Z,277.3,1013,134.6,51.6,5
2021-07-28T17:12:07.10546Z,100,245f,104.5,57.3,5
2022-02-27T17:21:47.49208Z,257.4,106a,135.6,39.3,2
2019-03-25T17:38:23.483946Z,103.3,1042,133.7,50.9,1.9000000000000001
2018-06-12T17:42:12.525596Z,149.4,1053,104.5,66.7,0.1
2021-02-05T15:10:49.705887Z,203,0f44,116.2,11.1,0.1
2018-08-05T17:31:56.159096Z,175.4,0f3f,112.4,60.2,0.1
2019-12-06T18:02:58.164297Z,275.4,105e,160.5,33.4,3
2022-06-13T17:40:17.949903Z,276.2,249c,103.5,66,3.2
2020-10-09T17:52:08.293678Z,260.3,106e,150.6,47.6,5
2020-11-15T17:42:28.862165Z,105.8,1040,155.6,36.1,0.9
2022-02-08T17:07:11.162811Z,99.6,2442,137.1,32,5.1
2022-08-03T17:51:29.259145Z,100.4,2274,117.4,64.3,2.1
2019-08-25T17:40:28.094231Z,99.9,0f17,126,58.8,5
2021-05-17T17:23:18.288653Z,100.1,222f,108.4,62,4.9
2022-10-29T17:37:43.656414Z,101,249b,152,40.5,3.2
2017-06-13T17:21:33.934703Z,175.6,0e0d,99.6,62.3,0
2023-09-06T17:47:55.832372Z,100.7,2484,135.3,57.2,4.1
2017-10-24T18:17:39.29884Z,260.1,0f4a,162.8,45.1,4.8
2020-11-03T15:26:00.485919Z,91.8,0f2b,123.3,19.8,1
2021-05-11T18:04:23.578601Z,100.6,2412,124.7,68.9,4.1
2020-01-12T17:41:48.970664Z,106.9,1027,150.8,31.2,0.9
2018-06-24T17:30:02.53435Z,194.3,0f35,100.5,63.7,0
2022-11-24T17:07:27.073031Z,277.3,2427,146.6,30.3,4.5
2022-07-13T17:08:14.330942Z,271.8,242d,98.9,57.6,1
2017-04-29T17:20:02.526809Z,181.6,0e1f,114.8,58.1,0.8
2022-01-14T17:55:08.537579Z,100.2,2416,153.7,32.9,5
2023-08-08T17:47:07.066711Z,100.3,2477,118.5,63,4.9
2019-06-16T17:31:40.975034Z,101.3,0e3a,101.5,64.6,3.1
2019-11-24T17:43:38.052804Z,277.2,1005,155.6,34.1,5
2021-02-04T18:07:08.717877Z,175.8,240a,152.6,38,0.1
2023-09-05T17:08:13.827437Z,103.7,2442,121.9,50.7,1.8
2020-12-04T18:19:08.669223Z,268.8,105a,165.2,34.8,1.1
2021-02-09T17:43:55.627669Z,277,1032,145,36.7,4
2018-11-07T17:21:22.474572Z,156.1,0f53,148.7,36.3,1.5
2021-02-28T18:05:28.069316Z,106.2,227a,148,45.7,1
2022-02-18T18:00:14.009091Z,275.7,2413,148.1,41.4,3
2018-09-27T17:33:54.42123Z,205.8,1040,140.4,49.4,0.1
2022-05-07T17:05:47.648025Z,100.3,2464,108.3,57.1,5.1
2018-04-03T17:28:05.937124Z,152,1032,127.5,52.3,0.9
2019-08-16T16:39:02.085133Z,258.9,104b,105.2,47.9,2
2024-03-28T17:20:36.187981Z,277.1,24c9,126.7,48.8,4.7
2021-05-11T17:12:04.979762Z,100,2451,108.3,59.1,5
2018-12-01T17:31:31.794496Z,104.9,0e0f,153,31.8,1.8
2024-01-03T17:57:52.398258Z,106,2475,156.2,31.8,1
2020-09-16T17:20:45.010014Z,276.1,222f,131.1,50,3.1
2023-03-01T17:46:25.918391Z,121.5,2416,142,43.4,0.6000000000000001
2019-08-20T16:37:27.396925Z,85.3,0f36,107,47.3,3
2022-12-14T17:40:57.393602Z,277.4,2470,154.2,30.6,4.7
2018-11-04T17:34:48.298154Z,159.4,1004,152,38.4,0.1
2019-04-10T16:58:49.33682Z,167.6,0f36,117,49.2,0.2
2020-05-03T17:44:31.805433Z,276.9,1013,120.2,63.4,4.1
2018-04-05T17:27:48.333112Z,150.7,101e,126.8,53,0.7000000000000001
2023-07-08T17:13:31.326277Z,276.9,24bc,98.5,58.8,5
2024-01-13T17:14:02.152716Z,99.9,24a1,144.2,28.2,5
2019-05-31T17:38:31.537529Z,103,101b,107.1,66,2
2020-11-03T18:17:46.738674Z,182.8,105d,164.8,41.8,0.4
2021-01-14T17:43:05.870013Z,276.6,101f,150.2,31.4,4.1
2021-06-11T18:05:25.954042Z,277.3,225b,111.5,70.8,5
2017-07-13T17:16:18.733163Z,102.3,1038,100.4,59.4,2.3
2021-09-21T17:58:37.182903Z,100.9,2416,147,54.4,4
2021-01-03T17:42:54.557588Z,277.1,1025,152,30.3,5.1
2023-07-26T17:46:09.399777Z,100.2,247a,112,64.5,4.9
2018-06-01T17:30:09.277096Z,260.3,0f43,104.2,64.1,0.4
2022-09-16T17:38:19.722786Z,101.5,249c,136.9,53.2,3.3
2021-10-06T17:11:47.891639Z,170.9,2442,137.5,43.7,0
2022-03-31T17:34:52.7707Z,101,100a,130.9,52.8,3
2021-04-07T15:00:03.624873Z,183.4,104a,96.7,24.3,0.1
2019-04-15T17:38:57.445621Z,269.9,1013,126.6,58,1
2018-06-04T17:29:52.93228Z,160.1,1012,103.4,64.1,0.2
2021-12-11T17:14:40.865774Z,277.7,241e,147.9,28,5
2022-05-26T17:38:16.916821Z,101,2438,109,65.7,3
2022-03-01T17:09:29.314936Z,105.5,2453,132.1,38.2,1.2
2022-06-08T17:31:09.16762Z,276,2233,102.7,64.1,3.3
2017-05-15T17:13:51.564563Z,171,0f28,106.7,59.5,0.8
2021-08-07T17:11:12.653872Z,100.1,2459,108.6,55.9,5.1
2020-10-30T18:10:12.030636Z,277.4,240f,161.5,42.4,4.9
2020-09-06T17:52:01.14528Z,178.8,1063,136.6,57.4,0.4
2020-11-29T15:22:40.836802Z,260.8,104b,126.5,13.9,4.9
2020-09-23T17:16:54.85842Z,277,2212,133.4,47.7,3.9
2022-06-07T17:02:35.303834Z,100.3,2463,97.6,58.9,5
2017-09-28T17:19:17.00948Z,101.2,100a,136.6,47.1,3.5
2019-06-08T17:31:59.752211Z,101.2,0e2f,103,64.7,3.9
2021-11-10T17:58:40.608247Z,100.4,2414,160,39,4
2019-08-23T17:56:39.875839Z,276,1064,129.7,61.3,4
2022-07-08T17:37:06.930459Z,100.3,249a,104.1,64.6,5
2021-06-12T18:01:53.126019Z,103.5,2416,110.4,70.8,2
2020-08-27T17:43:21.835687Z,100.2,0f22,128.4,58.6,5
2021-05-24T18:01:28.672585Z,100.1,2424,117.5,70.3,4.9
2018-06-27T17:31:13.921609Z,270.8,0f31,100.9,63.7,1
